Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Group37.PrjPcb|ReportField=ProjectFullPath~E:\SCHOOL STUFF\2016\SEMSTER 2\ELECTENG 209\Git Colab\209\Schematic\Group37.PrjPcb|ReportField=Title~Bill of Materials For Project [Group37.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~40|ReportField=ReportTime~2:55:43 p.m.|ReportField=ReportDate~22/08/2016|ReportField=ReportDateTime~22/08/2016 2:55:43 p.m.|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~22/08/2016|ReportField=CurrentTime~2:55:40 p.m.|ReportField=Date~|ReportField=DocumentFullPathAndName~E:\SCHOOL STUFF\2016\SEMSTER 2\ELECTENG 209\Git Colab\209\Schematic\Sheet1.SchDoc|ReportField=DocumentName~Sheet1.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~22/08/2016|ReportField=Organization~|ReportField=ProjectName~Group37.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Group37.PrjPcb|ReportField=DataSourceFullPath~E:\SCHOOL STUFF\2016\SEMSTER 2\ELECTENG 209\Git Colab\209\Schematic\Group37.PrjPcb
2.2m|Polarized Capacitor (Axial)|C1|CAP-RAD-7.5mm Pitch|Cap Pol (220uF-470uF)|1
10u|Polarized Capacitor (Axial)|C2|CAP-RAD-3mm Pitch|Cap Pol (22uF-100uF)|1
2.2n|Capacitor Non Polarised Through Hole|C3, C5|FILM CAP-0.2|CAP|2
6.8n|Capacitor Non Polarised Through Hole|C4, C6|FILM CAP-0.2|CAP|2
||D1|AXIAL-DIODE-0.4|Diode|1
3.3V|Zener Diode|D2, D3|AXIAL-DIODE-0.4|Zener|2
3V3|Zener Diode|D4, D5|AXIAL-DIODE-0.4|Zener|2
AC Source Input Socket|AC Source Input Socket|J1|AC-Socket|AC Input|1
Load connector|M6 Holes|P1|Dual Banana Plug|Dual Banana Plugs|1
150k|Through Hole Resistor|R1|AXIAL-0.4|Res|1
10|Through Hole Resistor|R2|AXIAL-0.4|Res|1
10k|Through Hole Resistor|R3, R6|AXIAL-0.4|Res|2
12k|Through Hole Resistor|R4, R21|AXIAL-0.4|Res|2
270m|Through Hole Resistor|R5|0805 RES|Res|1
68k|Through Hole Resistor|R7, R15, R16|AXIAL-0.4|Res|3
22k|Through Hole Resistor|R8, R14, R17|AXIAL-0.4|Res|3
5.6k|Through Hole Resistor|R9|0805 RES|Res|1
1k|Through Hole Resistor|R10|AXIAL-0.4|Res|1
100k|Through Hole Resistor|R11|AXIAL-0.4|Res|1
5.6k|Through Hole Resistor|R12, R19, R20|AXIAL-0.4|Res|3
12k|Through Hole Resistor|R13|0805 RES|Res|1
47k|Through Hole Resistor|R18, R24|AXIAL-0.4|Res|2
8.2k|Through Hole Resistor|R22, R23|AXIAL-0.4|Res|2
3.3V Regulator||U1|TO-92|LP2950-33|1
MCP6024-I/P|Rail-to-Rail Input/Output, 10 MHz Operational Amplifier, 14-Pin PDIP, Industrial Temperature|U2, U3|DIP-14|MCP6024-I/P|2
